goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkSieveAdd/CacheSize_32768-32                                  	 8576835	       145.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveGetHitMiss-32                                           	14842276	        93.17 ns/op	         0.4998 hit-ratio	       8 B/op	       0 allocs/op
BenchmarkSieveGetHitMiss-32                                           	14817192	        84.21 ns/op	         0.4998 hit-ratio	       8 B/op	       0 allocs/op
BenchmarkSieveGetHitMiss-32                                           	14507857	        83.80 ns/op	         0.4999 hit-ratio	       8 B/op	       0 allocs/op
BenchmarkSieveConcurrency-32                                          	 8288850	       145.2 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieveConcurrency-32                                          	 8877375	       166.6 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieveConcurrency-32                                          	 7673274	       144.4 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_1000-32                            	1000000000	         0.1069 ns/op	         6.000 GC-cycles	         0.2753 GC-pause-ns/op	         0.004342 heap-objs/op	   9439897 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_1000-32                            	1000000000	         0.1103 ns/op	         6.000 GC-cycles	         0.3027 GC-pause-ns/op	         0.004351 heap-objs/op	   9149988 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_1000-32                            	1000000000	         0.1041 ns/op	         6.000 GC-cycles	         0.3349 GC-pause-ns/op	         0.004351 heap-objs/op	   9693678 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_10000-32                           	1000000000	         0.1262 ns/op	         6.000 GC-cycles	         0.3543 GC-pause-ns/op	         0.004343 heap-objs/op	   8016712 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_10000-32                           	1000000000	         0.1244 ns/op	         6.000 GC-cycles	         0.4628 GC-pause-ns/op	         0.004352 heap-objs/op	   8117749 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_10000-32                           	1000000000	         0.1212 ns/op	         6.000 GC-cycles	         0.2813 GC-pause-ns/op	         0.004353 heap-objs/op	   8325577 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_50000-32                           	1000000000	         0.1868 ns/op	         6.000 GC-cycles	         0.3477 GC-pause-ns/op	         0.004346 heap-objs/op	   5389146 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_50000-32                           	1000000000	         0.1959 ns/op	         5.000 GC-cycles	         0.2996 GC-pause-ns/op	         0.004356 heap-objs/op	   5148925 ops/sec	       0 B/op	       0 allocs/op
BenchmarkSieveGCPressure/CacheSize_50000-32                           	1000000000	         0.2077 ns/op	         6.000 GC-cycles	         0.3404 GC-pause-ns/op	         0.004356 heap-objs/op	   4841961 ops/sec	       0 B/op	       0 allocs/op
BenchmarkEviction_LargeCache-32                                       	 4491866	       244.1 ns/op	      17 B/op	       1 allocs/op
BenchmarkEviction_LargeCache-32                                       	 4643049	       263.9 ns/op	      17 B/op	       1 allocs/op
BenchmarkEviction_LargeCache-32                                       	 4539627	       269.1 ns/op	      17 B/op	       1 allocs/op
BenchmarkGCPause_Comparison/Size_100000-32                            	28696402	        41.79 ns/op	    101414 avg-gc-pause-ns	      4342 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_100000-32                            	24637260	        42.69 ns/op	    100871 avg-gc-pause-ns	      4351 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_100000-32                            	27209774	        41.59 ns/op	    100314 avg-gc-pause-ns	      4351 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_500000-32                            	14211144	        72.48 ns/op	    100401 avg-gc-pause-ns	      4343 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_500000-32                            	13710766	        77.38 ns/op	    100170 avg-gc-pause-ns	      4352 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_500000-32                            	12288686	        82.14 ns/op	    100101 avg-gc-pause-ns	      4352 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_1000000-32                           	17608658	        84.14 ns/op	     99945 avg-gc-pause-ns	      4344 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Comparison/Size_1000000-32                           	21278644	        79.27 ns/op	     99752 avg-gc-pause-ns	      4353 heap-objects	       2 B/op	       0 allocs/op
